"iso3","date","confirmed","deaths","recovered","2017"
"AFG",2020-01-22,0,0,0,35530081
"AFG",2020-01-23,0,0,0,35530081
"AFG",2020-01-24,0,0,0,35530081
"AFG",2020-01-25,0,0,0,35530081
"AFG",2020-01-26,0,0,0,35530081
"AFG",2020-01-27,0,0,0,35530081
"AFG",2020-01-28,0,0,0,35530081
"AFG",2020-01-29,0,0,0,35530081
"AFG",2020-01-30,0,0,0,35530081
"AFG",2020-01-31,0,0,0,35530081
"AFG",2020-02-01,0,0,0,35530081
"AFG",2020-02-02,0,0,0,35530081
"AFG",2020-02-03,0,0,0,35530081
"AFG",2020-02-04,0,0,0,35530081
"AFG",2020-02-05,0,0,0,35530081
"AFG",2020-02-06,0,0,0,35530081
"AFG",2020-02-07,0,0,0,35530081
"AFG",2020-02-08,0,0,0,35530081
"AFG",2020-02-09,0,0,0,35530081
"AFG",2020-02-10,0,0,0,35530081
"AFG",2020-02-11,0,0,0,35530081
"AFG",2020-02-12,0,0,0,35530081
"AFG",2020-02-13,0,0,0,35530081
"AFG",2020-02-14,0,0,0,35530081
"AFG",2020-02-15,0,0,0,35530081
"AFG",2020-02-16,0,0,0,35530081
"AFG",2020-02-17,0,0,0,35530081
"AFG",2020-02-18,0,0,0,35530081
"AFG",2020-02-19,0,0,0,35530081
"AFG",2020-02-20,0,0,0,35530081
"AFG",2020-02-21,0,0,0,35530081
"AFG",2020-02-22,0,0,0,35530081
"AFG",2020-02-23,0,0,0,35530081
"AFG",2020-02-24,1,0,0,35530081
"AFG",2020-02-25,1,0,0,35530081
"AFG",2020-02-26,1,0,0,35530081
"AFG",2020-02-27,1,0,0,35530081
"AFG",2020-02-28,1,0,0,35530081
"AFG",2020-02-29,1,0,0,35530081
"AFG",2020-03-01,1,0,0,35530081
"AFG",2020-03-02,1,0,0,35530081
"AFG",2020-03-03,2,0,0,35530081
"AFG",2020-03-04,4,0,0,35530081
"AFG",2020-03-05,4,0,0,35530081
"AFG",2020-03-06,4,0,0,35530081
"AFG",2020-03-07,4,0,0,35530081
"AFG",2020-03-08,5,0,0,35530081
"AFG",2020-03-09,7,0,0,35530081
"AFG",2020-03-10,8,0,0,35530081
"AFG",2020-03-11,11,0,0,35530081
"AFG",2020-03-12,12,0,0,35530081
"AFG",2020-03-13,13,0,0,35530081
"AFG",2020-03-14,15,0,0,35530081
"AFG",2020-03-15,16,0,0,35530081
"AFG",2020-03-16,18,0,1,35530081
"AFG",2020-03-17,20,0,1,35530081
"AFG",2020-03-18,24,0,1,35530081
"AFG",2020-03-19,25,0,1,35530081
"AFG",2020-03-20,29,0,1,35530081
"AFG",2020-03-21,30,0,1,35530081
"AFG",2020-03-22,34,1,1,35530081
"AFG",2020-03-23,41,1,1,35530081
"AFG",2020-03-24,43,1,1,35530081
"AFG",2020-03-25,76,2,2,35530081
"AFG",2020-03-26,80,3,2,35530081
"AFG",2020-03-27,91,3,2,35530081
"AFG",2020-03-28,107,4,2,35530081
"AFG",2020-03-29,118,4,2,35530081
"AFG",2020-03-30,146,4,2,35530081
"AFG",2020-03-31,175,4,5,35530081
"AFG",2020-04-01,197,4,5,35530081
"AFG",2020-04-02,240,4,10,35530081
"AFG",2020-04-03,275,8,10,35530081
"AFG",2020-04-04,300,10,10,35530081
"AFG",2020-04-05,338,12,15,35530081
"AFG",2020-04-06,368,15,18,35530081
"AFG",2020-04-07,424,16,18,35530081
"AFG",2020-04-08,445,16,29,35530081
"AFG",2020-04-09,485,17,32,35530081
"AFG",2020-04-10,532,18,32,35530081
"AFG",2020-04-11,556,18,32,35530081
"AFG",2020-04-12,608,19,32,35530081
"AFG",2020-04-13,666,22,32,35530081
"AFG",2020-04-14,715,23,40,35530081
"AFG",2020-04-15,785,29,43,35530081
"AFG",2020-04-16,841,30,54,35530081
"AFG",2020-04-17,907,30,99,35530081
"AFG",2020-04-18,934,30,112,35530081
"AFG",2020-04-19,997,33,131,35530081
"AFG",2020-04-20,1027,36,135,35530081
"AFG",2020-04-21,1093,36,150,35530081
"AFG",2020-04-22,1177,40,166,35530081
"AFG",2020-04-23,1236,40,179,35530081
"AFG",2020-04-24,1331,43,188,35530081
"AFG",2020-04-25,1464,47,188,35530081
"AFG",2020-04-26,1532,52,207,35530081
"AFG",2020-04-27,1704,58,220,35530081
"AFG",2020-04-28,1830,59,228,35530081
"AFG",2020-04-29,1940,61,252,35530081
"AFG",2020-04-30,2127,64,260,35530081
"AFG",2020-05-01,2291,68,310,35530081
"AFG",2020-05-02,2470,72,331,35530081
"AFG",2020-05-03,2705,85,345,35530081
"AFG",2020-05-04,2895,90,397,35530081
"AFG",2020-05-05,3225,95,421,35530081
"AFG",2020-05-06,3393,104,458,35530081
"AFG",2020-05-07,3564,106,468,35530081
"AFG",2020-05-08,3781,109,472,35530081
"AFG",2020-05-09,4042,115,502,35530081
"AFG",2020-05-10,4403,120,558,35530081
"AFG",2020-05-11,4687,122,558,35530081
"AFG",2020-05-12,4968,127,610,35530081
"AFG",2020-05-13,5227,132,648,35530081
"AFG",2020-05-14,5640,136,691,35530081
"AFG",2020-05-15,6054,153,745,35530081
"AFG",2020-05-16,6403,168,745,35530081
"AFG",2020-05-17,6665,170,778,35530081
"AFG",2020-05-18,7073,173,801,35530081
"AFG",2020-05-19,7654,178,850,35530081
"AFG",2020-05-20,8146,188,930,35530081
"AFG",2020-05-21,8677,194,938,35530081
"AFG",2020-05-22,9219,206,996,35530081
"AFG",2020-05-23,10001,217,1040,35530081
"AFG",2020-05-24,10585,219,1075,35530081
"AFG",2020-05-25,11176,220,1097,35530081
"AFG",2020-05-26,11834,221,1128,35530081
"AFG",2020-05-27,12459,228,1138,35530081
"AFG",2020-05-28,13039,236,1209,35530081
"AFG",2020-05-29,13662,247,1259,35530081
"AFG",2020-05-30,14528,250,1303,35530081
"AFG",2020-05-31,15208,258,1328,35530081
"AFG",2020-06-01,15753,266,1428,35530081
"AFG",2020-06-02,16512,274,1450,35530081
"AFG",2020-06-03,17270,298,1522,35530081
"AFG",2020-06-04,18057,304,1585,35530081
"AFG",2020-06-05,18972,313,1762,35530081
"AFG",2020-06-06,19554,331,1830,35530081
"AFG",2020-06-07,20345,361,1875,35530081
"AFG",2020-06-08,20920,373,2171,35530081
"AFG",2020-06-09,21462,388,2651,35530081
"AFG",2020-06-10,22146,409,3013,35530081
"AFG",2020-06-11,22894,430,3326,35530081
"AFG",2020-06-12,23550,450,3928,35530081
"AFG",2020-06-13,24106,455,4201,35530081
"AFG",2020-06-14,24770,475,4725,35530081
"AFG",2020-06-15,25531,482,5164,35530081
"AFG",2020-06-16,26314,495,5508,35530081
"AFG",2020-06-17,26878,508,6158,35530081
"AFG",2020-06-18,27536,550,7660,35530081
"AFG",2020-06-19,27882,552,7962,35530081
"AFG",2020-06-20,28428,573,8292,35530081
"AFG",2020-06-21,28837,585,8764,35530081
"AFG",2020-06-22,29147,597,8841,35530081
"AFG",2020-06-23,29471,617,9260,35530081
"AFG",2020-06-24,29705,638,9869,35530081
"AFG",2020-06-25,30165,674,10174,35530081
"AFG",2020-06-26,30441,682,10306,35530081
"AFG",2020-06-27,30606,716,10674,35530081
"AFG",2020-06-28,30957,728,12604,35530081
"AFG",2020-06-29,31228,740,13934,35530081
"AFG",2020-06-30,31507,752,14131,35530081
"AFG",2020-07-01,31826,780,15651,35530081
"AFG",2020-07-02,32012,809,16041,35530081
"AFG",2020-07-03,32314,821,17331,35530081
"AFG",2020-07-04,32662,828,19164,35530081
"AFG",2020-07-05,32941,866,19366,35530081
"AFG",2020-07-06,33180,900,20103,35530081
"AFG",2020-07-07,33374,922,20179,35530081
"AFG",2020-07-08,33584,939,20700,35530081
"AFG",2020-07-09,33898,959,20847,35530081
"AFG",2020-07-10,34184,973,20882,35530081
"AFG",2020-07-11,34356,996,21135,35530081
"AFG",2020-07-12,34441,1012,21216,35530081
"AFG",2020-07-13,34595,1040,21254,35530081
"AFG",2020-07-14,34730,1064,21454,35530081
"AFG",2020-07-15,34984,1096,22456,35530081
"AFG",2020-07-16,35060,1117,22824,35530081
"AFG",2020-07-17,35219,1149,23151,35530081
"AFG",2020-07-18,35279,1166,23273,35530081
"AFG",2020-07-19,35453,1183,23634,35530081
"AFG",2020-07-20,35493,1185,23741,35530081
"AFG",2020-07-21,35605,1188,23741,35530081
"AFG",2020-07-22,35717,1192,23924,35530081
"AFG",2020-07-23,35918,1213,24550,35530081
"AFG",2020-07-24,35978,1227,24602,35530081
"AFG",2020-07-25,36026,1249,24793,35530081
"AFG",2020-07-26,36147,1261,25180,35530081
"AFG",2020-07-27,36253,1271,25198,35530081
"AFG",2020-07-28,36358,1272,25358,35530081
"AFG",2020-07-29,36463,1273,25389,35530081
"AFG",2020-07-30,36532,1283,25471,35530081
"AFG",2020-07-31,36665,1284,25509,35530081
"AFG",2020-08-01,36700,1285,25509,35530081
"AFG",2020-08-02,36701,1286,25510,35530081
"AFG",2020-08-03,36737,1290,25669,35530081
"AFG",2020-08-04,36773,1290,25669,35530081
"AFG",2020-08-05,36820,1296,25742,35530081
"AFG",2020-08-06,36928,1301,25840,35530081
"AFG",2020-08-07,37006,1310,25903,35530081
"AFG",2020-08-08,37046,1315,25960,35530081
"AFG",2020-08-09,37083,1321,25960,35530081
"AFG",2020-08-10,37153,1329,26228,35530081
"AFG",2020-08-11,37260,1346,26415,35530081
"AFG",2020-08-12,37336,1356,26694,35530081
"AFG",2020-08-13,37422,1365,26714,35530081
"AFG",2020-08-14,37497,1370,26714,35530081
"AFG",2020-08-15,37542,1371,27166,35530081
"AFG",2020-08-16,37590,1376,27166,35530081
"AFG",2020-08-17,37667,1378,27166,35530081
"AFG",2020-08-18,37710,1382,27166,35530081
"AFG",2020-08-19,37750,1384,27166,35530081
"AFG",2020-08-20,37852,1386,27681,35530081
"AFG",2020-08-21,37885,1386,28016,35530081
"AFG",2020-08-22,37944,1386,28016,35530081
"AFG",2020-08-23,37990,1388,28180,35530081
"AFG",2020-08-24,38045,1390,28360,35530081
"AFG",2020-08-25,38061,1398,28440,35530081
"AFG",2020-08-26,38103,1402,29042,35530081
"AFG",2020-08-27,38119,1402,29046,35530081
"AFG",2020-08-28,38130,1403,29059,35530081
"AFG",2020-08-29,38133,1403,29063,35530081
"AFG",2020-08-30,38155,1403,29089,35530081
"AFG",2020-08-31,38159,1403,29089,35530081
"AFG",2020-09-01,38193,1407,29231,35530081
"AFG",2020-09-02,38243,1410,29315,35530081
"AFG",2020-09-03,38288,1410,29390,35530081
"AFG",2020-09-04,38304,1410,29713,35530081
"AFG",2020-09-05,38324,1410,30082,35530081
"AFG",2020-09-06,38398,1413,30537,35530081
"AFG",2020-09-07,38494,1416,30557,35530081
"AFG",2020-09-08,38520,1419,30715,35530081
"AFG",2020-09-09,38544,1421,31048,35530081
"AFG",2020-09-10,38572,1421,31129,35530081
"AFG",2020-09-11,38606,1421,31154,35530081
"AFG",2020-09-12,38641,1421,31234,35530081
"AFG",2020-09-13,38716,1421,31638,35530081
"AFG",2020-09-14,38772,1427,32073,35530081
"AFG",2020-09-15,38815,1428,32098,35530081
"AFG",2020-09-16,38855,1438,32503,35530081
"AFG",2020-09-17,38872,1438,32505,35530081
"AFG",2020-09-18,38897,1439,32576,35530081
"AFG",2020-09-19,38919,1439,32576,35530081
"AFG",2020-09-20,39044,1443,32576,35530081
"AFG",2020-09-21,39074,1446,32576,35530081
"AFG",2020-09-22,39096,1447,32576,35530081
"AFG",2020-09-23,39145,1448,32610,35530081
"AFG",2020-09-24,39170,1453,32619,35530081
"AFG",2020-09-25,39186,1453,32619,35530081
"AFG",2020-09-26,39192,1455,32635,35530081
"AFG",2020-09-27,39227,1455,32642,35530081
"AFG",2020-09-28,39239,1458,32642,35530081
"AFG",2020-09-29,39254,1460,32746,35530081
"AFG",2020-09-30,39268,1460,32789,35530081
"AFG",2020-10-01,39285,1460,32842,35530081
"AFG",2020-10-02,39290,1460,32842,35530081
"AFG",2020-10-03,39297,1464,32842,35530081
"AFG",2020-10-04,39341,1464,32852,35530081
"AFG",2020-10-05,39422,1468,32879,35530081
"AFG",2020-10-06,39486,1469,32977,35530081
"AFG",2020-10-07,39548,1471,33045,35530081
"AFG",2020-10-08,39616,1472,33058,35530081
"AFG",2020-10-09,39693,1474,33058,35530081
"AFG",2020-10-10,39703,1475,33064,35530081
"AFG",2020-10-11,39799,1479,33114,35530081
"AFG",2020-10-12,39870,1481,33118,35530081
"AFG",2020-10-13,39928,1482,33308,35530081
"AFG",2020-10-14,39994,1483,33354,35530081
"AFG",2020-10-15,40026,1483,33447,35530081
"AFG",2020-10-16,40088,1487,33516,35530081
"AFG",2020-10-17,40141,1490,33561,35530081
"AFG",2020-10-18,40200,1494,33614,35530081
"AFG",2020-10-19,40287,1499,33760,35530081
"AFG",2020-10-20,40369,1501,33790,35530081
"AFG",2020-10-21,40510,1503,33824,35530081
"AFG",2020-10-22,40626,1507,33831,35530081
"AFG",2020-10-23,40687,1509,34010,35530081
"AFG",2020-10-24,40768,1513,34023,35530081
"AFG",2020-10-25,40833,1516,34129,35530081
"AFG",2020-10-26,40937,1520,34150,35530081
"AFG",2020-10-27,41032,1525,34217,35530081
"AFG",2020-10-28,41145,1531,34237,35530081
"AFG",2020-10-29,41268,1534,34239,35530081
"AFG",2020-10-30,41334,1535,34258,35530081
"AFG",2020-10-31,41425,1538,34321,35530081
"AFG",2020-11-01,41501,1538,34326,35530081
"AFG",2020-11-02,41633,1544,34342,35530081
"AFG",2020-11-03,41728,1547,34355,35530081
"AFG",2020-11-04,41814,1551,34362,35530081
"AFG",2020-11-05,41935,1557,34440,35530081
"AFG",2020-11-06,41975,1557,34440,35530081
"AFG",2020-11-07,42033,1559,34446,35530081
"AFG",2020-11-08,42159,1565,34458,35530081
"AFG",2020-11-09,42297,1577,34721,35530081
"AFG",2020-11-10,42463,1580,34954,35530081
"AFG",2020-11-11,42609,1584,34967,35530081
"AFG",2020-11-12,42795,1594,35024,35530081
"AFG",2020-11-13,42969,1598,35036,35530081
"AFG",2020-11-14,43035,1608,35067,35530081
"AFG",2020-11-15,43240,1620,35092,35530081
"AFG",2020-11-16,43468,1635,35137,35530081
"AFG",2020-11-17,43681,1641,35160,35530081
"AFG",2020-11-18,43924,1648,35295,35530081
"AFG",2020-11-19,44177,1653,35350,35530081
"AFG",2020-11-20,44363,1666,35370,35530081
"AFG",2020-11-21,44503,1678,35422,35530081
"AFG",2020-11-22,44706,1690,35934,35530081
"AFG",2020-11-23,44988,1702,35976,35530081
"AFG",2020-11-24,45174,1715,36122,35530081
"AFG",2020-11-25,45384,1728,36145,35530081
"AFG",2020-11-26,45600,1737,36232,35530081
