"Province_State","date","confirmed","deaths","population","change_confirmed","change_deaths","rolling_ave_confirmed","rolling_ave_deaths","perc_change","pop_perc","status","status_bin"
"Alabama",2020-01-22,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-23,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-24,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-25,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-26,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-27,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-28,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-29,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-30,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-01-31,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-01,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-02,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-03,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-04,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-05,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-06,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-07,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-08,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-09,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-10,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-11,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-12,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-13,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-14,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-15,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-16,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-17,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-18,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-19,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-20,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-21,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-22,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-23,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-24,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-25,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-26,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-27,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-28,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-02-29,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-01,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-02,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-03,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-04,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-05,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-06,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-07,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-08,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-09,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-10,0,0,4858979,0,0,0,0,0,0,"stable",-1
"Alabama",2020-03-11,3,0,4858979,3,0,0.375,0,0.0154353414575367,0.00385883536438416,"stable",-1
"Alabama",2020-03-12,4,0,4858979,1,0,0.5,0,0.0205804552767155,0.00514511381917889,"stable",-1
"Alabama",2020-03-13,8,0,4858979,4,0,1,0,0.0411609105534311,0.0102902276383578,"stable",-1
"Alabama",2020-03-14,15,0,4858979,7,0,1.875,0,0.0771767072876833,0.0192941768219208,"stable",-1
"Alabama",2020-03-15,28,0,4858979,13,0,3.5,0,0.128627845479472,0.0360157967342522,"stable",-1
"Alabama",2020-03-16,36,0,4858979,8,0,4.5,0,0.164643642213724,0.04630602437261,"stable",-1
"Alabama",2020-03-17,51,0,4858979,15,0,6.375,0,0.221239894224692,0.0656002011945308,"stable",-1
"Alabama",2020-03-18,61,0,4858979,10,0,7.625,0,0.236675235682229,0.078462985742478,"stable",-1
"Alabama",2020-03-19,88,0,4858979,27,0,10.625,0,0.293271487693196,0.109333668657551,"stable",-1
"Alabama",2020-03-20,115,0,4858979,27,0,13.875,0,0.385883536438416,0.142776908482214,"stable",-1
"Alabama",2020-03-21,149,0,4858979,34,0,17.625,0,0.4630602437261,0.181365262126056,"stable",-1
"Alabama",2020-03-22,180,0,4858979,31,0,20.625,0,0.535091837194604,0.212235945041129,"stable",-1
"Alabama",2020-03-23,224,0,4858979,44,0,24.5,0,0.571107633928856,0.252110577139765,"stable",-1
"Alabama",2020-03-24,298,0,4858979,74,0,32.75,0,0.776912186696012,0.337004955156217,"stable",-1
"Alabama",2020-03-25,472,1,4858979,174,1,52.625,0.125,1.44063186937009,0.541523229468578,"stable",-1
"Alabama",2020-03-26,574,1,4858979,102,0,64.125,0.125,1.79049960907425,0.659860847309692,"stable",-1
"Alabama",2020-03-27,684,4,4858979,110,3,74.5,0.5,2.05804552767155,0.766621959057654,"stable",-1
"Alabama",2020-03-28,801,4,4858979,117,0,85.75,0.5,2.18152825933185,0.882387019989179,"stable",-1
"Alabama",2020-03-29,880,10,4858979,79,6,91.375,1.25,1.59498528394545,0.940269550454941,"stable",-1
"Alabama",2020-03-30,1001,10,4858979,121,0,102.625,1.25,1.5846950563071,1.05603461138647,"stable",-1
"Alabama",2020-03-31,1063,23,4858979,62,13,104.875,2.875,1.25026265806047,1.07918762357277,"stable",-1
"Alabama",2020-04-01,1175,27,4858979,112,4,109.625,3.375,0.982716739463167,1.12806620485497,"stable",-1
"Alabama",2020-04-02,1371,32,4858979,196,5,112.375,3.875,0.864379121622053,1.15636433086045,"stable",-1
"Alabama",2020-04-03,1606,38,4858979,235,6,129,4.625,1.08561901584674,1.32743936534815,"stable",-1
"Alabama",2020-04-04,1727,44,4858979,121,6,130.375,5,1.04960321911249,1.34158842835089,"stable",-1
"Alabama",2020-04-05,1905,45,4858979,178,1,138,5.125,1.16794083695361,1.42005141409337,"stable",-1
"Alabama",2020-04-06,2079,49,4858979,174,4,149.875,4.875,1.54353414575367,1.54224786729887,"stable",-1
"Alabama",2020-04-07,2308,64,4858979,229,15,163.375,6.75,1.41490630027419,1.6811659404167,"stable",-1
"Alabama",2020-04-08,2614,66,4858979,306,2,193.875,5.375,2.61371782014287,1.99501788338661,"stable",-1
"Alabama",2020-04-09,2954,70,4858979,340,4,222.375,5.375,3.47295182794575,2.28828937107981,"stable",-1
"Alabama",2020-04-10,3112,80,4858979,158,10,217.625,6,2.78865168999496,2.23941078979761,"stable",-1
"Alabama",2020-04-11,3346,92,4858979,234,12,217.5,6.75,2.22783428370446,2.23812451134281,"stable",-1
"Alabama",2020-04-12,3667,93,4858979,321,1,242.5,6.125,2.00144927566059,2.49538020230176,"stable",-1
"Alabama",2020-04-13,3870,99,4858979,203,6,245.625,6.75,0.956991170367273,2.52753716367163,"stable",-1
"Alabama",2020-04-14,4041,114,4858979,171,15,245.25,8.125,1.13707015403853,2.52367832830724,"stable",-1
"Alabama",2020-04-15,4307,118,4858979,266,4,249.875,6.75,1.33258447916733,2.57127063113465,"stable",-1
"Alabama",2020-04-16,4465,133,4858979,158,15,231.375,8.375,-0.457915129906921,2.38090141982503,"stable",-1
"Alabama",2020-04-17,4557,148,4858979,92,15,200.375,9.75,-1.86253120254276,2.06190436303594,"stable",-1
"Alabama",2020-04-18,4788,153,4858979,231,5,209.5,9.125,-1.47150255228516,2.15580269023595,"stable",-1
"Alabama",2020-04-19,4978,157,4858979,190,4,204,8.125,-1.88825677163865,2.09920643822498,"stable",-1
"Alabama",2020-04-20,5163,163,4858979,185,6,187,8.75,-1.8265154058085,1.9242725683729,"stable",-1
"Alabama",2020-04-21,5404,183,4858979,241,20,191.75,10.5,-0.355012853523343,1.9731511496551,"stable",-1
"Alabama",2020-04-22,5692,196,4858979,288,13,206.375,10.25,-0.128627845479472,2.12364572886608,"stable",-1
"Alabama",2020-04-23,5899,202,4858979,207,6,199,10.5,-0.205804552767155,2.0477553000332,"stable",-1
"Alabama",2020-04-24,6092,209,4858979,193,7,203.375,9.5,0.674009910312434,2.09277504595101,"stable",-1
"Alabama",2020-04-25,6274,209,4858979,182,0,214.625,7.625,0.941555828909736,2.20854010688254,"stable",-1
"Alabama",2020-04-26,6475,219,4858979,201,10,210.875,8.25,0.18522409749044,2.16995175323869,"stable",-1
"Alabama",2020-04-27,6621,228,4858979,146,9,205.375,8.875,0.262400804778123,2.11335550122773,"stable",-1
"Alabama",2020-04-28,6820,242,4858979,199,14,207.125,9.875,0.154353414575367,2.13136339959485,"stable",-1
"Alabama",2020-04-29,6979,256,4858979,159,14,196.875,9.125,-0.730606162323402,2.02588856630169,"stable",-1
"Alabama",2020-04-30,7187,272,4858979,208,16,186.875,9.5,-0.987861853282346,1.92298628991811,"stable",-1
"Alabama",2020-05-01,7440,289,4858979,253,17,192.625,10.875,-0.524801609556246,1.98215509883867,"stable",-1
"Alabama",2020-05-02,7700,288,4858979,260,-1,201,9.875,-0.252110577139765,2.06833575530991,"stable",-1
"Alabama",2020-05-03,7977,290,4858979,277,2,212.875,10.125,0.658574568854897,2.19053220851541,"stable",-1
"Alabama",2020-05-04,8203,298,4858979,226,8,216,9.875,1.19881151986868,2.22268916988528,"stable",-1
"Alabama",2020-05-05,8520,315,4858979,317,17,237.375,10.875,1.84195074726604,2.44264278565518,"stable",-1
"Alabama",2020-05-06,8769,343,4858979,249,28,243.625,12.625,1.75448381234,2.50695670839491,"stable",-1
"Alabama",2020-05-07,9115,369,4858979,346,26,267,14.125,2.22783428370446,2.74749077944152,"stable",-1
"Alabama",2020-05-08,9437,383,4858979,322,14,281.25,13.875,2.68574941361138,2.89412652328812,"stable",-1
"Alabama",2020-05-09,9720,390,4858979,283,7,285,12.625,1.96028836510716,2.93271487693196,"stable",-1
"Alabama",2020-05-10,9982,393,4858979,262,3,285.25,13.125,1.71332290178657,2.93528743384155,"stable",-1
"Alabama",2020-05-11,10262,403,4858979,280,10,285.625,14.125,0.766621959057654,2.93914626920594,"stable",-1
"Alabama",2020-05-12,10566,435,4858979,304,32,295.375,17.125,0.581397861567214,3.03947598867993,"stable",-1
"Alabama",2020-05-13,10822,450,4858979,256,15,287.75,16.875,0.113192504021935,2.96101300293745,"stable",-1
"Alabama",2020-05-14,11161,473,4858979,339,23,299,16.25,0.565962520109677,3.07677806386897,"stable",-1
"Alabama",2020-05-15,11494,483,4858979,333,10,297.375,14.25,0.483640699002815,3.06005644395664,"stable",-1
"Alabama",2020-05-16,11828,485,4858979,334,2,298.875,12.75,0.144063186937009,3.07549178541418,"stable",-1
"Alabama",2020-05-17,12137,488,4858979,309,3,302.125,12.25,0.591688089205572,3.10893502523884,"stable",-1
"Alabama",2020-05-18,12438,489,4858979,301,1,307,12,0.329287284427449,3.15909988497584,"stable",-1
"Alabama",2020-05-19,12825,504,4858979,387,15,320.375,12.625,0.946700942728915,3.29673167963887,"stable",-1
"Alabama",2020-05-20,13186,522,4858979,361,18,327.5,10.875,1.17823106459196,3.37004955156217,"stable",-1
"Alabama",2020-05-21,13590,529,4858979,404,7,346,9.875,1.80593495053179,3.56041876287179,"stable",-1
"Alabama",2020-05-22,13954,541,4858979,364,12,349.125,8.5,1.73390335706328,3.59257572424166,"stable",-1
"Alabama",2020-05-23,14328,549,4858979,374,8,354.25,8.25,1.39432584499748,3.64531314088824,"stable",-1
"Alabama",2020-05-24,14676,551,4858979,348,2,356,8.25,1.17308595077279,3.66332103925537,"stable",-1
"Alabama",2020-05-25,15309,566,4858979,633,15,396.5,9.75,2.07862598294827,4.08007525860886,"stable",-1
"Alabama",2020-05-26,15899,580,4858979,590,14,432.625,11.375,3.43693603121149,4.45180973204453,"stable",-1
"Alabama",2020-05-27,16263,583,4858979,364,3,429.75,9.875,3.10764874678405,4.42222532758425,"stable",-1
"Alabama",2020-05-28,16749,591,4858979,486,8,445.375,8.625,3.6787563807129,4.58301013443359,"stable",-1
"Alabama",2020-05-29,17262,610,4858979,513,19,459,10.125,2.57255690958944,4.72321448600622,"stable",-1
"Alabama",2020-05-30,17689,618,4858979,427,8,466.875,9.625,1.40976118645501,4.80425002865828,"stable",-1
"Alabama",2020-05-31,18200,630,4858979,511,12,484,10.125,2.23297939752364,4.98047017696516,"stable",-1
"Alabama",2020-06-01,18525,646,4858979,325,16,481.125,11.875,1.47150255228516,4.95088577250488,"stable",-1
"Alabama",2020-06-02,18734,653,4858979,209,7,428.125,10.875,-1.27084311333718,4.40550370767192,"stable",-1
"Alabama",2020-06-03,18954,653,4858979,220,0,381.875,9.125,-3.49867739704164,3.92958067939787,"stable",-1
"Alabama",2020-06-04,19262,653,4858979,308,0,374.875,8.75,-4.49168436414317,3.85754908592937,"stable",-1
"Alabama",2020-06-05,19910,676,4858979,648,23,395.125,10.625,-3.53983830759507,4.06592619560611,"stable",-1
"Alabama",2020-06-06,20355,689,4858979,445,13,386.625,9.875,-1.70817778796739,3.97845926068007,"stable",-1
"Alabama",2020-06-07,20777,692,4858979,422,3,386,9.25,0.169788756032903,3.9720278684061,"stable",-1
"Alabama",2020-06-08,21268,718,4858979,491,26,383.5,11,0.355012853523343,3.9463022993102,"stable",-1
"Alabama",2020-06-09,21834,729,4858979,566,11,413.625,10.375,0.761476845238475,4.25629540691573,"stable",-1
"Alabama",2020-06-10,22659,744,4858979,825,15,490.625,11.375,4.28073469755683,5.04864293506928,"stable",-1
"Alabama",2020-06-11,23370,755,4858979,711,11,552,12.75,6.83271115186956,5.68020565637349,"stable",-1
"Alabama",2020-06-12,24405,769,4858979,1035,14,642.875,14.5,10.6761111747962,6.61533009300925,"stable",-1
"Alabama",2020-06-13,25364,773,4858979,959,4,681.75,12.125,11.0362691421387,7.01536269245041,"stable",-1
"Alabama",2020-06-14,26182,773,4858979,818,0,728.375,10.5,9.78600648407824,7.49514455608884,"stable",-1
"Alabama",2020-06-15,26485,774,4858979,303,1,713.5,10.25,6.64748705437912,7.34207741996827,"stable",-1
"Alabama",2020-06-16,27034,785,4858979,549,11,720.75,8.375,3.20540590934845,7.41668157034636,"stable",-1
"Alabama",2020-06-17,27941,790,4858979,907,5,763.375,7.625,3.35975932392381,7.85530252343136,"stable",-1
"Alabama",2020-06-18,28676,810,4858979,735,20,752.125,8.25,0.977571625643988,7.73953746249984,"stable",-1
"Alabama",2020-06-19,29225,822,4858979,549,12,731.875,8.375,0.756331731419296,7.53116035282309,"stable",-1
"Alabama",2020-06-20,29683,838,4858979,458,16,659.75,8.625,-2.5108155437593,6.78897768440654,"stable",-1
"Alabama",2020-06-21,30122,839,4858979,439,1,594.75,8.25,-6.94075854207232,6.12011288791328,"stable",-1
"Alabama",2020-06-22,30771,841,4858979,649,2,573.625,8.5,-7.34722253378745,5.90273182905298,"stable",-1
"Alabama",2020-06-23,31889,864,4858979,1118,23,675.5,11.25,-2.32044633244968,6.95104876971067,"stable",-1
"Alabama",2020-06-24,32878,891,4858979,989,27,730.5,13.25,2.91213442165525,7.51701128982035,"stable",-1
"Alabama",2020-06-25,33880,896,4858979,1002,5,742.375,13.25,6.07637942045026,7.63920774302585,"stable",-1
"Alabama",2020-06-26,34903,907,4858979,1023,11,778.375,12.125,8.42769643581501,8.00965593800673,"stable",-1
"Alabama",2020-06-27,35083,919,4858979,180,12,732.25,12.125,2.33588167390721,7.53501918818748,"stable",-1
"Alabama",2020-06-28,36503,919,4858979,1420,0,852.5,10.125,5.02163108751859,8.7724190617,"stable",-1
"Alabama",2020-06-29,37589,929,4858979,1086,10,933.375,11.25,7.86173391570534,9.60464122195218,"stable",-1
"Alabama",2020-06-30,38477,950,4858979,888,21,963.25,13.625,7.60962333856557,9.91206177264812,"stable",-1
"Alabama",2020-07-01,39647,972,4858979,1170,22,969.75,13.5,9.77571625643988,9.97894825229745,"outbreak",1
"Alabama",2020-07-02,41340,985,4858979,1693,13,1057.75,11.75,8.44827689109173,10.8844882844729,"outbreak",1
"Alabama",2020-07-03,42255,1006,4858979,915,21,1046.875,13.75,4.67176334781443,10.7725820589058,"outbreak",1
"Alabama",2020-07-04,43216,1007,4858979,961,1,1039.125,12.5,3.12308408824158,10.6928327947085,"outbreak",1
"Alabama",2020-07-05,44022,1007,4858979,806,0,1117.375,11,6.07637942045026,11.49804310741,"outbreak",1
"Alabama",2020-07-06,44932,1007,4858979,910,0,1053.625,11,-0.169788756032903,10.8420410954647,"outbreak",1
"Alabama",2020-07-07,46348,1033,4858979,1416,26,1094.875,13,1.97572370656469,11.266512985547,"outbreak",1
"Alabama",2020-07-08,48149,1058,4858979,1801,25,1209,13.5,6.9922096802641,12.4408852147745,"outbreak",1
"Alabama",2020-07-09,49695,1068,4858979,1546,10,1256,12,5.70593122546938,12.9245259137774,"outbreak",1
"Alabama",2020-07-10,51329,1104,4858979,1634,36,1248.625,14.875,8.02637755791906,12.8486354849445,"outbreak",1
"Alabama",2020-07-11,52802,1114,4858979,1473,10,1318.375,13.5,9.19946350869185,13.5663788627199,"outbreak",1
"Alabama",2020-07-12,54781,1121,4858979,1979,7,1445.625,14.25,9.73970045970563,14.875810329701,"outbreak",1
"Alabama",2020-07-13,56168,1124,4858979,1387,3,1518.25,14.625,10.7944487926373,15.6231381119367,"outbreak",1
"Alabama",2020-07-14,58284,1164,4858979,2116,40,1669,19.625,17.3030177738986,17.1743899284191,"outbreak",1
"Alabama",2020-07-15,60194,1211,4858979,1910,47,1730.75,22.25,16.9737304894711,17.8098114850877,"outbreak",1
"Alabama",2020-07-16,62128,1230,4858979,1934,19,1747.375,21.5,12.4203047594978,17.9808865195754,"outbreak",1
"Alabama",2020-07-17,64152,1265,4858979,2024,35,1807.125,24.625,11.8903580361224,18.5957276209673,"outbreak",1
"Alabama",2020-07-18,66181,1286,4858979,2029,21,1856.5,22.75,7.71767072876833,19.1038076106112,"outbreak",1
"Alabama",2020-07-19,67733,1287,4858979,1552,1,1866.375,21.625,5.58244849380909,19.20542360854,"outbreak",1
"Alabama",2020-07-20,69236,1291,4858979,1503,4,1806.875,21.25,2.44907417792915,18.5931550640577,"outbreak",1
"Alabama",2020-07-21,70600,1303,4858979,1364,12,1804,22.375,-0.128627845479472,18.5635706595974,"outbreak",1
"Alabama",2020-07-22,72594,1364,4858979,1994,61,1788.75,25,-2.78865168999496,18.4066446881125,"outbreak",1
"Alabama",2020-07-23,74685,1397,4858979,2091,33,1811.375,23.25,-2.26385008043871,18.6394610884303,"outbreak",1
"Alabama",2020-07-24,76795,1438,4858979,2110,41,1833.375,26,1.09076412966592,18.8658460964742,"outbreak",1
"Alabama",2020-07-25,78188,1456,4858979,1393,18,1754.5,23.875,-2.03746507239484,18.0542043914987,"outbreak",1
"Alabama",2020-07-26,79948,1473,4858979,1760,17,1720.875,23.375,-2.79379680381413,17.7081954871589,"outbreak",1
"Alabama",2020-07-27,81256,1491,4858979,1308,18,1690.375,25.5,-4.98047017696516,17.394343544189,"outbreak",1
"Alabama",2020-07-28,82698,1491,4858979,1442,0,1682.75,25,-6.19986215211056,17.3158805584465,"outbreak",1
"Alabama",2020-07-29,84652,1538,4858979,1954,47,1756.5,29.375,0.0823218211068622,18.0747848467754,"outbreak",1
"Alabama",2020-07-30,86664,1565,4858979,2012,27,1758.75,25.125,1.5589694872112,18.0979378589617,"outbreak",1
"Alabama",2020-07-31,88266,1580,4858979,1602,15,1697.625,22.875,0.298416601512375,17.4689476945671,"outbreak",1
"Alabama",2020-08-01,90299,1603,4858979,2033,23,1688,20.625,0.216094780405513,17.3699042535479,"outbreak",1
"Alabama",2020-08-02,91458,1627,4858979,1159,24,1658.75,21.375,-4.02347900659789,17.068915095126,"outbreak",1
"Alabama",2020-08-03,92502,1633,4858979,1044,6,1569.25,20,-7.79999254987519,16.1479397214929,"outbreak",1
"Alabama",2020-08-04,93457,1666,4858979,955,33,1525.125,21.875,-7.10025707046686,15.6938834269504,"outbreak",1
"Alabama",2020-08-05,95323,1695,4858979,1866,29,1578.125,25.5,-4.52255504705824,16.2392654917834,"outbreak",1
"Alabama",2020-08-06,97044,1714,4858979,1721,19,1549,22,-4.51740993323906,15.9395626118162,"outbreak",1
"Alabama",2020-08-07,98895,1735,4858979,1851,21,1528.875,21.25,-1.66187176359478,15.7324717805942,"outbreak",1
"Alabama",2020-08-08,99854,1755,4858979,959,20,1448.5,21.875,-3.15395477115666,14.9053947341612,"outbreak",1
"Alabama",2020-08-09,101466,1768,4858979,1612,13,1395.875,20.625,-7.50157594836281,14.3638715046927,"outbreak",1
"Alabama",2020-08-10,102391,1797,4858979,925,29,1366.625,21.25,-7.50672106218199,14.0628823462707,"outbreak",1
"Alabama",2020-08-11,103485,1847,4858979,1094,50,1372.875,26.75,-6.42110204633525,14.1271962690104,"outbreak",1
"Alabama",2020-08-12,104219,1882,4858979,734,35,1345.25,27,-4.24986401464176,13.8429287305008,"outbreak",1
"Alabama",2020-08-13,104976,1890,4858979,757,8,1206.625,24.375,-7.78970232223683,12.4164459241334,"outbreak",1
"Alabama",2020-08-14,106096,1893,4858979,1120,3,1131.5,22.375,-9.67795909387548,11.6433925728018,"outbreak",1
"Alabama",2020-08-15,106926,1896,4858979,830,3,1003.875,20.125,-15.1883759942161,10.3301022704564,"outbreak",1
